cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
UgzsqBEahlcdtoqqJZR4AaABAg,Hari ini tepat 2 tahun yg lalu (2maret2023),1 bulan yang lalu (diedit),@angkasatu6253,UCzjOjoBapHM5SMHvxyOGhGg,0,https://yt3.ggpht.com/W22cbEu3cPuH2SuUE2yj_dtdUJSa8rVApU2CYcWdtZpN7SpcmaQN8YNr1UcyN1364ATawJGuRQ=s176-c-k-c0x00ffffff-no-rj,false,false,1678788819.382674
UgxKt9uem3QLyXULri54AaABAg,Awal terjadinya wabah covid..,6 bulan yang lalu,@xie-tamvan,UCpLcdAvaKX4eUmPnkFI09UQ,0,https://yt3.ggpht.com/-8SEvck_e1zqqJkvKROayaaTZmgNKR-8phwgcWOtniOYzgN5KflqdTRxD0ribMb8zSGlrL0k3g=s176-c-k-c0x00ffffff-no-rj,false,false,1665742419.387155
Ugy11IfGvONHCOjKKQh4AaABAg,Lagi nonton lagi... mengenang,10 bulan yang lalu,@langkahpertama11,UChPkRiI8Nu9pDe4ieEl4BAw,1,https://yt3.ggpht.com/ytc/AGIKgqOVvH6kDYLn5sPwri6-CgsfrU-lFNllSSbrgA=s176-c-k-c0x00ffffff-no-rj,false,false,1655201619.39198
Ugy17_TbS1poW5QmlhV4AaABAg,after 2 years aku kembali melihat berita ini,10 bulan yang lalu,@dannyahmad4384,UCQ4QkZ3CoxlPhVOh3VMavKQ,1,https://yt3.ggpht.com/ytc/AGIKgqNMP7ZJlc3bkwWCzlnN-8sXTHfUjzHc4Tuk_x4-=s176-c-k-c0x00ffffff-no-rj,false,false,1655201619.395808
UgyhnbSa1ybtATr-RNx4AaABAg,Heh komen. Berharaplah pada tenaga medis,11 bulan yang lalu,@eavyeavy2864,UCrbK9XOhNlSK1njZXtGyjqw,0,https://yt3.ggpht.com/ytc/AGIKgqO0zUzpjhmpOgZFm7lmM5nwkwS20AApwH3GdQ=s176-c-k-c0x00ffffff-no-rj,false,false,1652523219.399575
UgynmoR9VEEXOgQdq7h4AaABAg,Login,1 tahun yang lalu,@GalihDaffa,UCyvbqFN5vrowRu27NmBZGKA,0,https://yt3.ggpht.com/aMYzXOJCQUGVVMwLTGNvs2okEbvpF5CSQZn7XLfpexpIwvcjSQg5IWQujYKYrI3clWnNIdOfAw=s176-c-k-c0x00ffffff-no-rj,false,false,1649931219.402451
UgxpFOhqG1M6Dt9bA1l4AaABAg,Jir dari 2 bisa 4jt g tuh,1 tahun yang lalu,@no-pm8ch,UCsQddgZf_x7iYKhc49XV2Lg,1,https://yt3.ggpht.com/ytc/AGIKgqMG2faQWQDc7oos2LDPXSNTwwxJe2KE-RA7WrlKrGQeWGATtBUIak6NBunsXDf7uw=s176-c-k-c0x00ffffff-no-rj,false,false,1649931219.405442
UgwA3LWR83nUGD6AJSZ4AaABAg,2+3jt,1 tahun yang lalu,@amek4p115,UCpt4vhkImXm54ykAoWs6KAQ,0,https://yt3.ggpht.com/XLZ_eI-6UO_y0vpMccOEWIiG8bLGMYqgQCwwmnFzoxvLos99oetf-JZ4ugTuy9Tw_vkax1BRJw=s176-c-k-c0x00ffffff-no-rj,false,false,1649931219.409271
UgzWBbhcmO1sYgD-bOF4AaABAg,Nostalgia,1 tahun yang lalu,@bxgadi,UC3L-CZRH0_t-EQL2td8jJjA,1,https://yt3.ggpht.com/dWkCLEo4CQyMJcrdYQujns5QSm78YWPTpZ9kQd-Pqorh7TnYRjK1o73adGWGV9UoiGal-Y47=s176-c-k-c0x00ffffff-no-rj,false,false,1649931219.412613
UgxrtqXOgDG2sZWilqF4AaABAg,Kata manteri udah di cek aman,1 tahun yang lalu,@muhammadgbrcar7262,UCN9ViDpKxxHSowirlWsUWFQ,0,https://yt3.ggpht.com/ytc/AGIKgqOd5czpTAgbNAIaf90nNy5pfrSDjuRjkmdEL1vpEtXyHN1WDWMBOKeo6YGPPC6-=s176-c-k-c0x00ffffff-no-rj,false,false,1649931219.415721
UgxRwE9mqf8L6EmsZyN4AaABAg,Login,1 tahun yang lalu,@notbenah8158,UCexNHeD7ZVlT8ArH2FLRpGw,0,https://yt3.ggpht.com/X7NyPvQpCL2ABHtx8XO9GffihtKBfZHF6oBAl5DxXEYtGcH2--npOZ4ofuaBVi09nQgWiVLU=s176-c-k-c0x00ffffff-no-rj,false,false,1649931219.418952
Ugyd4tKKGoZX3hRAlCd4AaABAg,kita bisa liat sekarang :(,1 tahun yang lalu,@ringazze5541,UCp-bL1v1h5r1YiDehZVK6gQ,1,https://yt3.ggpht.com/ytc/AGIKgqNvAtGp-cylfwo8AJ55o35H4UD8dshH6JgsNinPcQ=s176-c-k-c0x00ffffff-no-rj,false,false,1649931219.423607
Ugx2iKPnxNqknEoNKE14AaABAg,terbaru men. terbaru memang,1 tahun yang lalu,@Fauzan1n,UC1a5qSMdxJzd5byUOgCx00g,0,https://yt3.ggpht.com/PoShcyogSDJmPZ1Wr91wk_Kppm7y8jWCiHFkjf2_edKEpq4vopbK60mq6ofXo3Dm2eVxNS4IOuQ=s176-c-k-c0x00ffffff-no-rj,false,false,1649931219.427021
UgwSNdB6qg3Zs0NA0xF4AaABAg,asal mula covid,1 tahun yang lalu,@gabriellashtly8060,UChPgxXegkZEJNw8bZS3ol-w,0,https://yt3.ggpht.com/OsQTuXPcxXSa7Hfn9zLjxCieMC2q5Hf_BQyKcIhZA4Lq96VIOA6bwnYkmUOoYPYXMVWZjNJFPw=s176-c-k-c0x00ffffff-no-rj,false,false,1649931219.430191
UgxFhR0nfqNhAKrYT514AaABAg,Login,1 tahun yang lalu,@notbenah8158,UCexNHeD7ZVlT8ArH2FLRpGw,0,https://yt3.ggpht.com/X7NyPvQpCL2ABHtx8XO9GffihtKBfZHF6oBAl5DxXEYtGcH2--npOZ4ofuaBVi09nQgWiVLU=s176-c-k-c0x00ffffff-no-rj,false,false,1649931219.433162
Ugxb2VTTHnSAPvE8PAR4AaABAg,g kerasa 1 tahun,2 tahun yang lalu,@plotgajelas2181,UCpUJs6NnIa_Kgekdh2VnaIA,0,https://yt3.ggpht.com/ytc/AGIKgqP1UxKgRXktMoPVfDQLFk-kCyEPxtQNHGvoGpBZd5Fvgy1D4xw0dw5g_mIwQBoC=s176-c-k-c0x00ffffff-no-rj,false,false,1618395219.437777
UgxiCkFGEsjaGKp8hcx4AaABAg,Hbd ronron,2 tahun yang lalu,@inishelaseptiwiasih2174,UCcHQvtFg83d2JzqxelZsaHg,0,https://yt3.ggpht.com/Vg--fUdo6J-jldYIcEzWZwhP5XHplYancVokkVyvfH-QJuYYFCIA-SC1aDNQkeEmbgHVF1iH7Q=s176-c-k-c0x00ffffff-no-rj,false,false,1618395219.441155
UgxH5HdOjOK1OluJqHZ4AaABAg,HBD CORONA KLENG,2 tahun yang lalu,@maujdapa5986,UCJWyRY2NFVahzQ0kedxQK0g,1,https://yt3.ggpht.com/ytc/AGIKgqMAyHufsjseFeFc003ZhL5mUNoEnoLA9cOhRg=s176-c-k-c0x00ffffff-no-rj,false,false,1618395219.444343
UgwUIJ_HsqorK5_wlpV4AaABAg,Dari 2 sampe 2021 jadi brp ya....?,2 tahun yang lalu,@leliarifin6416,UCqiEoTcq_GygNA2RDc6O-hQ,0,https://yt3.ggpht.com/ytc/AGIKgqOAeaz7--vcGYjvt-CVkfTNhRp7C_Ju8ijhmQ=s176-c-k-c0x00ffffff-no-rj,false,false,1618395219.447713
