cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
UgxbeTZuCFYk3SWUQJ14AaABAg,DANI.     PUTRA,4 bulan yang lalu,Dani Saputra,UCzcYPSIj7MOPxFOFPwxCMFA,0,https://yt3.ggpht.com/ytc/AGIKgqPYFAMuu3wuXWfooFzlPXv3NRgeoPeikSNy9B00E_qP8zLNKAMuxNDAIUxNYzJ0=s176-c-k-c0x00ffffff-no-rj,false,false,1671013009.112758
UgyqEWGrIgSfMHo6Z2p4AaABAg,Apanya tanpa masker tetep indonesia harus pakai masker terbukti di MOG kota malang saya datang d suruh kembali harus pakai masker saya beri tahu kata pak presiden indonesia tanpa masker tp katax aturan gt... yg mana yang bener,4 bulan yang lalu,slamet mujiono,UCjCf2dLuFwvqWIxAT2GxzEg,0,https://yt3.ggpht.com/ytc/AGIKgqOAuJm1F2CcBHG_bD-8y_c6t2t2KM_HdSZWImXWpQ=s176-c-k-c0x00ffffff-no-rj,false,false,1671013009.11756
UgzkYQGukULjv8bcjah4AaABAg,"mengapa di bebaskan.
masker kan bisa memecah belah persaudaraan.",6 bulan yang lalu,cecenet,UCQVaOt-PLujGvft0uVvytQg,0,https://yt3.ggpht.com/2YH8VD4-jcKuKTNjEj2cOkdmCbP8P-vsDAavFT3f84wy_6YfwdQXzd2y1PU3eSCSJbLTHcVPQw=s176-c-k-c0x00ffffff-no-rj,false,false,1665742609.121103
UgzOl1GBgohm69cOP_p4AaABAg,Semoga semakin aman kedepannya 💪💪💪💪💪💪🙏🙏🙏🙏🙏,8 bulan yang lalu,Putra Adi pening,UCEbEwIuGcIsS8E0-DcHMsDQ,0,https://yt3.ggpht.com/ytc/AGIKgqPSRmIbDCPIDWXAZ4PwkRQRkcUfzr0Rx5Y2_RCzMosda83N384FB9L2m_0OSQdn=s176-c-k-c0x00ffffff-no-rj,false,false,1660472209.12486
UgxsJUpGHtBssnDnjdt4AaABAg,"Kebiasaan dan kewajiban penyediaan fasilitas cuci tangan agar tetap dipertahankan, di rumah makan, mall, mini market dll. Sudah mulai banyak fasilitas cuci tangan yang tidak terawat.",9 bulan yang lalu,Jadilah_berkatbagisesama,UCk4rocbXI401_GzslIElnZA,0,https://yt3.ggpht.com/ytc/AGIKgqMRsKi0FlgK5IHGqp9fzt25I0d6AplDXrARa7Tov4lX7qBp8O63TIIdANN8TbyU=s176-c-k-c0x00ffffff-no-rj,false,false,1657793809.128208
UgzzkNXN8iFgl1GPvDZ4AaABAg,Fakta bukan opini(pendapat).,9 bulan yang lalu,Kiai Online,UCKLn92Sjps3tIY2qXyJZdEA,0,https://yt3.ggpht.com/ytc/AGIKgqPcXHbkF6IkXgn1SnH4p5fFxW2UsceHKXINhJkdxV9crZalj8XdiF5ZicursGg_=s176-c-k-c0x00ffffff-no-rj,false,false,1657793809.131628
UgwvhnJtxD9x8ZNBmXJ4AaABAg,Kami sebagai security bank sangat resah dengan keputusan bpk joko widodo. Karna masih banyak masyarakat yang belum tahu persis kalau bpk presiden hanya memperbolehkan untuk membuka masker di ruang terbuka. Sedangkan untuk masuk dalam area bank(ruang tertutup) itu masih wajib memakai masker. Jadi banyak sekali masyarakat yang tidak mau memakai masker memaksa masuk ke dalam area bank dengan beralasan bpk presiden sudah memutuskan untuk membuka masker. Kami sebagai security hanya bekerja atas perintah atasan kami yang masih mewajibkan untuk memakai masker di dalam bank sering terjadi salah pahan dengan nasabah yang tidak patuh dengan aturan. Semoga kedepan di longgarkan lagii untuk melepas masker di semua tempat agar kami tidak salah paham dengan situasi seperti ini.,10 bulan yang lalu,Ahmat Saleh,UC5CNCQ1KKzkIdecxZi8dofg,0,https://yt3.ggpht.com/ytc/AGIKgqOK8uYaQKtBxNMnKa9JU1f19COnqMZEg8Cggq0J=s176-c-k-c0x00ffffff-no-rj,false,false,1655201809.137129
UgzWY_CsS4BEO9pD4AF4AaABAg,Sudah terbiasa pakai masker....pakai masker lebih aman pak.... Muka juga jadi tambah mulus bebas polusi..,10 bulan yang lalu,Sufa'ati Yusuf Sarah,UCWaR43hsK_5XLvv9OuUbyCw,0,https://yt3.ggpht.com/ytc/AGIKgqNdHThuF2rbDxGHyqiQuKN63AG9nZFLRFpBSw=s176-c-k-c0x00ffffff-no-rj,false,false,1655201809.140969
Ugz6pCXmT6pVwBzcLTB4AaABAg,Tpi klok di mall di suruh pakek masker . Lucu wkwkwk,10 bulan yang lalu,Faisal Haris,UCRPVeZcPdyk6U6ngua8xudQ,0,https://yt3.ggpht.com/ytc/AGIKgqO0SdeLQvy8n2bubknzp0U6bh96ATMynVD8Rg=s176-c-k-c0x00ffffff-no-rj,false,false,1655201809.14506
UgyjYIDAznYk9eRKu-l4AaABAg,"Sudah di temukan RUSIA bukti berkas2 si PEMBUAT senjata biologis PENYEBARAN FIRUS MELALUI BURUNG KENAPA PEMERINTAH PUSAT LAMBAT RESPON BUKTI ITU BENAR ATAU TIDAK,, BANYAK MASYARAKAT HILANG PEKERJAAN KARNA FAKSIN,,",10 bulan yang lalu,bambang kono,UC2GPX1zGVZ4fBgtaXCvxPsg,0,https://yt3.ggpht.com/doSN2OOWFAqDGeQcrfXHqS2B0_zu0J2KMrNMLL9DR3MWWLU6Y5A35LB3Q_kxK2erGNYt6jDXnw=s176-c-k-c0x00ffffff-no-rj,false,false,1655201809.149283
Ugxlt1Tbjv-KJFe4ejN4AaABAg,Saya tidak akan melepas masker karna bagi saya masker bisa menambah ketampanan saya 50 % 😅😅,10 bulan yang lalu,Rusdi Rahman,UCbCaixcTwaA9UtTvvob1Ayg,0,https://yt3.ggpht.com/ytc/AGIKgqP1w0P4D-XflnsG0AeeGwxtPPbb5ZNMXLAmF84e=s176-c-k-c0x00ffffff-no-rj,false,false,1655201809.153901
UgwB9qbfHfFEW7LDN_N4AaABAg,"Whaha sebelum ada berita ini emang udah biasa lepas masker, hargai oksigen",10 bulan yang lalu,Mochamad Zimam S. ,UCq9eqbJXonzxX9cjJEJgTuA,0,https://yt3.ggpht.com/nKHobXf1T2PyvrxmnDtjwZyFDrP7ugIPp5PHMezb88-G2GSj2VtJOlG7bt1WHnZ7RKPIAuy5_A=s176-c-k-c0x00ffffff-no-rj,false,false,1655201809.157744
UgxmM7raIULAhYaDDKh4AaABAg,"nasib punya jerawat wkwk, jd malu buka masker",10 bulan yang lalu,Dann Leonor.,UCpyLTpvEeyAQxFEpXcBinHg,0,https://yt3.ggpht.com/Jzlk854krIM-vhr2oFSfBq_fm23kJfQ7QJElSPC9PFF1F-RJ_Bk2oho2eSUCX-JYjt6DmBEz=s176-c-k-c0x00ffffff-no-rj,false,false,1655201809.16141
UgwG3io-e5y-n6miDxV4AaABAg,"Ya di italy sudah bebas masker di luar ,di supermarket  di toko, di bar, di rumah sakit.yg pakai masker hanya pegawai supermarket.sekolah masih pakai masker ...",10 bulan yang lalu,ida nudari,UCGE5Zmvhxnud4nUeSy_1L5w,0,https://yt3.ggpht.com/zTw7aiy-lkJ4cfTk1hHmM2cNoeBylR3JU8SN7l6P9hb2VYQvmZ474G7P7mbEq8HbGXL18WaSsR8=s176-c-k-c0x00ffffff-no-rj,false,false,1655201809.166483
UgxXzBK5kz1mKcZE-5d4AaABAg,"Baik pak presiden yg saya hormati,, walaupun sudah di perbolehkan tidak pakai masker,, saya Akan tetap pakai masker karena ingin menjaga kesehatan,,",10 bulan yang lalu,I Putu Dedy Andriyana Arys Darmantara,UCYRhdcg-jnCHnt6Ai_uCfsA,0,https://yt3.ggpht.com/7d31C8ZOdK61VtG9rfi4JPSVk-PJfFMohesvpc4aVdTjIFRAR2XgPzFx2OVCm5rl-UYSAtIr=s176-c-k-c0x00ffffff-no-rj,false,false,1655201809.170527
Ugypxrii6FtcvBLJtkR4AaABAg,"Terima kasih pak, saya juga tdk terbiasa pakai masker, soalnya rasanya sesak nafas🙏",10 bulan yang lalu,Inspirasi,UCVDfVwtsPk_3KxQwNFh2mSA,0,https://yt3.ggpht.com/ZbGMUFMPvSK-4481JUJscp1eKNVfOuqlT_UCzBfOvDH5NblKRjGModrBRTDTVM3ki2qbeRZpacM=s176-c-k-c0x00ffffff-no-rj,false,false,1655201809.174595
Ugx67iHRxxGtV2I_bop4AaABAg,Terikasih atas inwoya saya sangat sena sekali lagi saya berterimakasih sebanyak nya 😇🥰😊😇😊,10 bulan yang lalu,Nabila Nurr,UCa5TLeqQqsCUPI9TAp-M8ig,0,https://yt3.ggpht.com/ytc/AGIKgqOa-rmDhCSP-EzGPcJPZLDnXKqIXcXZtjJBqQrpZdijdGwgj750JtzPpH-B7hWw=s176-c-k-c0x00ffffff-no-rj,false,false,1655201809.178874
UgxSFx6lqbsUck7SQQh4AaABAg,Siap bapak presiden ..semogga bapak presiden dalam lindungan Allah dan di beri kesehatan...amin,10 bulan yang lalu,Nurhasanda,UC5DlV6iI6Wuy6Khuy_RqP6A,0,https://yt3.ggpht.com/lQnAyrlOvK6cVpG8qDd9mHvL175T7vRXBxfNeC35MxH59F2_xHxdZ8V66kKBH0jMOTp2eW1w_A=s176-c-k-c0x00ffffff-no-rj,false,false,1655201809.183362
UgyuRgVnh2usVgBca9l4AaABAg,"I think, sy akan tetap pakai masker. I love the privacy hehe",10 bulan yang lalu,A K.G,UCHytN-KVlqPuH-DyhEQi7YQ,0,https://yt3.ggpht.com/O09uJyX96ZS-Ck3FQ-yVSHvqnMZKliQY7kdacBcxH_YAt8FzEQ1Q5r6rvgQGfIjvpj8KxEncUA=s176-c-k-c0x00ffffff-no-rj,false,false,1655201809.187631
UgzVpCgKSKKzk6ATtsh4AaABAg,Penjajahan harus dihapuskan,10 bulan yang lalu,Rita Yusnita,UCsu8IIf3wXr821j1mYbCUsg,0,https://yt3.ggpht.com/ytc/AGIKgqOouEPHYTQqSsyIT6FxZZsSb2AHEBMjmwrXVOWc_YjKF6Ez0oELMF6kdtrw4O8h=s176-c-k-c0x00ffffff-no-rj,false,false,1655201809.191777
Ugxh9ygGNCIbZqWDpVt4AaABAg,"2thn pake masker, sehabis nembak banyak pasangan yg ketipu, dan akhirnya di tinggal kan jg🤣🤣",10 bulan yang lalu,Tatang Malik,UCZ3U6KYQFqfLyN1NqPkK6tg,0,https://yt3.ggpht.com/ytc/AGIKgqPMczdBLlRWwTvDYrDTp79QaGLedbiQC1Hqhw=s176-c-k-c0x00ffffff-no-rj,false,false,1655201809.638863
Ugy54efdOWGQ14VyEVJ4AaABAg,Ko masih pake masker di kereta api kan Jokowi udah ngumumkan,10 bulan yang lalu,Putra KembaR,UCGHPRTL-axzMdTC-qSp2DUg,0,https://yt3.ggpht.com/ytc/AGIKgqP1UxKgRXktMoPVfDQLFk-kCyEPxtQNHGvoGpBZd5Fvgy1D4xw0dw5g_mIwQBoC=s176-c-k-c0x00ffffff-no-rj,false,false,1655201809.644416
Ugwpl4UtD_pNXvO7DHN4AaABAg,Saya sarankan ketika saat berkendara motor tidak apa memakai masker tapi saat sedang beribadah sholat tidak usah memakai masker atau penutup mulut lainnya 🙏,10 bulan yang lalu,Gholib. SW,UCRKoDkvMbsMZBP2wfi6DdBA,0,https://yt3.ggpht.com/ytc/AGIKgqMsNcKZFW6xnZBIO7JkcOHTXsZr3Y63x4HL0A=s176-c-k-c0x00ffffff-no-rj,false,false,1655201809.648755
UgwpcwVceXmTxeZEZ8d4AaABAg,"Saya,  melepas masker ketika mandi",10 bulan yang lalu,Wahyu Kustriawan,UC89zwCxRM7OHlQLNp1Pb5_w,0,https://yt3.ggpht.com/ytc/AGIKgqPHtreYrQf6mswWkihCBobuIkS1d1lgOnlemlAJpGQ=s176-c-k-c0x00ffffff-no-rj,false,false,1655201809.653433
UgzpvMI4xwGXHh-7_J14AaABAg,Kok gw gak melihat masyarakat euforia ya ...? Apa karena sudah gak pake masker dari lama atau sudah gak acuh soal Corona ?,10 bulan yang lalu,Zero Zone,UCNRspVBQyL_5WV82_SomzHw,0,https://yt3.ggpht.com/ytc/AGIKgqMIpGVKA4WaS-yuobQfAJARsi5woh1ShcytHN5kovbP_6bf4nSMRfS1TGL8nzvO=s176-c-k-c0x00ffffff-no-rj,false,false,1655201809.65769
UgzWEWF3q9YvlTwhjKd4AaABAg,Alham dulila,10 bulan yang lalu,Aisah abid,UCkw8OKpOcLRNTdAHT488lPQ,0,https://yt3.ggpht.com/ytc/AGIKgqPEclljAmszFs74zlZ_u6izByGzu-87DZ3P2DT856oKmSZzCq5mN3uTdjPcyvYi=s176-c-k-c0x00ffffff-no-rj,false,false,1655201809.661658
UgzkdCY-GlzXvGTOy5V4AaABAg,"Alhamdulillah bebas masker...
jadi terasa lega, gak terasa ngap""an lagi...
aku mah jadi orang mau jujur aja...
aku pke masker klo nyaman ya bilang nyaman, klo gak ya bilang gak...",10 bulan yang lalu,Ruddy Arra dessy,UCpOCsRlCsstQNpSwJTS2Dzg,0,https://yt3.ggpht.com/ytc/AGIKgqOyfhTtDo152sxCIZ5Wat1dCeWZnWTKjcSmo1lN=s176-c-k-c0x00ffffff-no-rj,false,false,1655201809.665318
UgzqbkXAz6N8-Fbj8RF4AaABAg,"ntar dijalan dicegat lalu ditilang,amsyong dech",10 bulan yang lalu,John Paul,UCBuhLTeYNC0sRno32VwYFQA,0,https://yt3.ggpht.com/DWKuWZwp-Q-DXpD1oyv6AtX8XavnjiQ09NQjpkqV146n-HITOraFV5PlZsF0BufSAY-7NAiSduI=s176-c-k-c0x00ffffff-no-rj,false,false,1655201809.670516
UgypvGPrBIstDzFjbId4AaABAg,"MAU TANYA VAKSIN 3 WAJIB GAK ?
DI TEMPAT SAYA BUAT SKCK DI TOLAK SYARAT HARUS VAKSIN 3 .",10 bulan yang lalu,Mada Starwhite,UCeNorlYd2M7LREgkgMK6foQ,0,https://yt3.ggpht.com/ytc/AGIKgqPC8ln58VExJxiazOnN8Nbv2-yDZh0lg_8gLMq_=s176-c-k-c0x00ffffff-no-rj,false,false,1655201809.67476
UgwkYqeJaPon45XBp0l4AaABAg,"Dari suaranya keknya sakit pak de bnyk"" istirahat pak de",10 bulan yang lalu,Hari Ansyah,UCfv7QBuV4XQ02Mbr98NCihA,0,https://yt3.ggpht.com/ytc/AGIKgqPZHWwR1MPjZRNxPVBlceFinmwCQ5NDRHZzwg=s176-c-k-c0x00ffffff-no-rj,false,false,1655201809.678576
UgwBiZQhBbGMn1fanP14AaABAg,Iya pakde... nanti menjelang idul adha 1443H atau 2022 akan diketatkan lg masker dan prokesnya y... wkwkwk... ruwet ruwet ruwet...,10 bulan yang lalu,iwanhermawan72,UCEB6Yl1qH4gk5Y4DSMayqjQ,0,https://yt3.ggpht.com/ytc/AGIKgqNNQ76k_c7z5GQb1xwVdep3A72G5xdCxzd3omCn=s176-c-k-c0x00ffffff-no-rj,false,false,1655201809.682468
